epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.6109603444735209,0.6492604098352445,0.45675237081488784,0.8167145982080576
1,0.3860996712227257,0.8342591065938781,0.35659967089185907,0.8571849732982869
2,0.2993327156216109,0.8780121924925823,0.33634185486910295,0.8563877794207359
3,0.24202701444325803,0.903950995328475,0.33573020356042044,0.8659210144257059
4,0.2040555293158609,0.9220635834194365,0.3270873372652093,0.8655690465654645
5,0.15509110501631587,0.9411568053725625,0.3316787980040725,0.8731950326841704
6,0.12956439110697532,0.9520552170519926,0.39232453643059245,0.879452252874569
7,0.10876163537455659,0.960555189726304,0.34866320600315015,0.8770877463476998
8,0.09292172876243689,0.9678293693633306,0.442656116217983,0.8657014102351909
9,0.07220045594992686,0.9736823155766442,0.4947103240660259,0.8730686854343025
