epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.7885084476600699,0.5316991716826043,0.7980098164811427,0.5200231038794225
1,0.7646339916858543,0.5297036150685784,0.7220370416738549,0.5725837508026435
2,0.682813957840407,0.5977393980739879,0.6300390897964945,0.6472131305811356
3,0.6260582107264979,0.6586090078970201,0.6500549681332647,0.6059124713041344
4,0.6440987651850901,0.6247188388084879,0.6467351475540473,0.6168204898736915
5,0.5948481661121862,0.688245761962164,0.6249459933261482,0.6486811710863697
6,0.5575765651099536,0.7160103961724003,0.5946271176240883,0.690652676991054
7,0.5120403152339312,0.7526555985820537,0.6311107606303935,0.6741973915878607
8,0.48933931252583357,0.7690349322597997,0.6241990820485719,0.6976078164820768
9,0.45038454325831667,0.7919443983609985,0.5945765418665749,0.7391280811660144
