epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.9186338210592464,0.5119681942219637,0.6680554321834019,0.588247858748144
1,0.7718593303849097,0.5330106839030778,0.6715555312682171,0.5832330572361849
2,0.7057853823616391,0.5619753947874315,0.6346540402392952,0.6298673955761657
3,0.6449370566679506,0.6337108429597349,0.6510963500762472,0.6563673226200805
4,0.6146255585612083,0.6669135393739558,0.7233302532410135,0.609393049259575
5,0.5751423219434258,0.7082116109173314,0.6276105028025958,0.7134253467832293
6,0.6067855260810073,0.6820259353741497,0.6324183466483135,0.6445357629231044
7,0.6427874431318167,0.6355538181707162,0.6020263701069112,0.7022255245520144
8,0.5865257183710734,0.7068400946604151,0.8294769756648005,0.5886870671291741
9,0.5703321093199204,0.7135965272682865,0.5418284845595457,0.7701795344450035
