epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.6698021361617004,0.5791759243627794,0.5335975058224737,0.7389957162798667
1,0.4753717220559412,0.776103384640752,0.35397748405836066,0.8490866872729087
2,0.33515271432951194,0.8606727970700686,0.30222257333142416,0.8772140935975679
3,0.2754910058107506,0.8903489822433108,0.33021788633599575,0.8820634386977371
4,0.2352054444502811,0.9086210087043087,0.31366854115408294,0.8854447445090936
5,0.19860945408847056,0.9235619647162301,0.2991917133331299,0.8862750286958656
6,0.17527031204124696,0.9338191926073866,0.3422141494799633,0.8822890593081104
7,0.15372785315120302,0.9417911313828968,0.3274728372997167,0.8864344674713758
8,0.13972712275223667,0.9492350366650796,0.39709549594898613,0.8836909179784813
9,0.11625594937172877,0.9583230468691611,0.3569228305500381,0.8861486814459976
