epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.606369039031113,0.6489809629868488,0.3882792829250803,0.8250986714752353
1,0.34505172763146513,0.8510567533726595,0.3009618879580984,0.8754331919611716
2,0.24626862850724435,0.8994267059832203,0.2890012075706404,0.8854778348183145
3,0.19469216805534298,0.9247414688674771,0.30692295730113983,0.8835314792029711
4,0.15467111325385619,0.9406613452093942,0.30706945973999644,0.8818107429815798
5,0.12780019270927728,0.9532175769611281,0.34920468591913884,0.8774066238987203
6,0.09954442034418486,0.9635879551472307,0.4526398489061667,0.8707101953272917
7,0.08300098525296871,0.9696500573028513,0.39105885521489747,0.8824484980836207
8,0.06963174457528762,0.9763361994101076,0.4814268609090727,0.8813324266550492
9,0.055359424541698024,0.9814948155766442,0.5200007506171052,0.8763898246142329
