epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.6056389180170435,0.6514754084502759,0.38197393867434287,0.8371949609445066
1,0.3409876593318926,0.8536540622613868,0.3412070405118319,0.8537104117627047
2,0.23781568192097605,0.9046847568888242,0.3401281453517018,0.8759054918678439
3,0.18473771386811522,0.9286434330096861,0.3110184748562015,0.8751744810415774
4,0.1405632777937821,0.9498230741948498,0.3408716917037964,0.8798643873662365
5,0.11177823507562787,0.9590705231744416,0.38228505454501327,0.8806615812437875
6,0.08413928621733675,0.9687997171667968,0.3881786085513173,0.8686043997200168
7,0.09862243237138606,0.9638965462340789,0.47808103780357203,0.852215297368108
8,0.08310473448007691,0.9684774109295436,0.45038418806329067,0.8760649306433541
9,0.050955698318576735,0.982724036894688,0.450694307380793,0.8728490812437875
