epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.8271871999818452,0.5205778880995147,0.677478702700868,0.5730951586548163
1,0.7065038924314537,0.5940603054299647,0.6402213318007333,0.6240223098774346
2,0.5598702704419896,0.7321942890582441,0.7299579874593385,0.7423108402563601
3,0.4663921494264992,0.7931701913982833,0.76716269400655,0.7633898489329279
4,0.5221539583741402,0.7491548028932947,0.5459605224278509,0.7138705715841177
5,0.4386345316358164,0.807166515564432,0.5922479909293505,0.6760384574228403
6,0.376488598937891,0.8423939132366051,0.5779597345663576,0.8204749469854393
7,0.3167833865297084,0.8798688828539686,0.3945585799460508,0.8422308199259699
8,0.3744454923130217,0.8396783106181086,0.7949606350490025,0.6278157489640372
9,0.624109335497123,0.6502856182403305,0.5733781152841996,0.6983719200504069
