epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.6490621185627113,0.6181029867963727,0.4944372791416791,0.7596956832068307
1,0.3785420751490561,0.837876481263816,0.3187589085831934,0.874981950740425
2,0.2719640171244031,0.8942715189083904,0.3015866881730605,0.8787422995178067
3,0.21719696828905416,0.9182404814934244,0.32790141963228886,0.8711223286025378
4,0.18198800629296272,0.9322779511107879,0.38835506779806955,0.8699460917589615
5,0.15417654710967524,0.9437678294116948,0.3522407993370173,0.8699130014497407
6,0.12764077425814,0.953008421018821,0.3735596309511029,0.8770275797162738
7,0.10966345721057483,0.961976423555491,0.3858187405430541,0.8692752463476998
8,0.09549600904693409,0.9664012781616782,0.424755901706462,0.8616221851232101
9,0.09018208902506601,0.9695797672077101,0.49155627525582607,0.8399716019630432
